gene	transcript	cell_lines	overall_direction	myeloid_direction	myeloid_corr	myeloid_pval	myeloid_n	cns_direction	cns_corr	cns_pval	cns_n
GEM	GEM (ENST00000396194)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3061373434023371	0.005155928545147385	173
GEM	GEM (ENST00000523660)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3074989812293228	0.004950982005493509	173
GEN1	GEN1 (ENST00000534451)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3325803477659475	0.0022670625461110845	173
GET3	GET3 (ENST00000357332)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3680491566381419	6.691760752858768e-4	173
GFAP	GFAP (ENST00000639243)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3007492389347934	0.0060426000943878296	173
GFER	GFER (ENST00000248114)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4265578620429882	6.441269904963137e-5	173
GFM1	GFM1 (ENST00000478254)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3038235707593748	0.005521477166814503	173
GFM1	GFM1 (ENST00000478576)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3513265435381202	0.0012105393775754868	173
GFPT1	GFPT1 (ENST00000361060)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31289520294717177	0.004208057759987591	173
GGNBP2	GGNBP2 (ENST00000613102)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4366779533627526	4.105378084739825e-5	173
GGT4P	GGT4P (ENST00000623672)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30716863462899646	0.005000028478840314	173
GHDC	GHDC (ENST00000301671)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3408900192387888	0.0017247735829821575	173
GIGYF2	GIGYF2 (ENST00000492910)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35211775497047954	0.0011779011758508745	173
GIPC1	GIPC1 (ENST00000589497)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32829736765640677	0.0026025968688175374	173
GIPC1	GIPC1 (ENST00000591349)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33513513167428577	0.0020859477040563	173
GLB1L	GLB1L (ENST00000428427)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.36928408462276296	6.396981098126937e-4	173
GLB1L2	GLB1L2 (ENST00000535456)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.391791237903882	2.7261805614239447e-4	173
GLI3	GLI3 (ENST00000677990)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3772399704362915	4.7649591084252815e-4	173
GLIPR1L1	GLIPR1L1 (ENST00000547144)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.31007009602750435	0.004583611673536339	173
GLS	GLS (ENST00000338435)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3518864374963173	0.001187359732577923	173
GLS	GLS (ENST00000471443)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4459600300969074	2.6816401464347333e-5	173
GLT8D1	GLT8D1 (ENST00000266014)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3986884432003525	2.073215448027615e-4	173
GLT8D1	GLT8D1 (ENST00000478968)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.395503815218917	2.3543482277776866e-4	173
GLT8D1	GLT8D1 (ENST00000487642)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4599420343466487	1.3786461432308488e-5	173
GLT8D1	GLT8D1 (ENST00000497953)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3680319095961772	6.695963970930786e-4	173
GLYR1	GLYR1 (ENST00000587936)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32270067759161525	0.0031079241755142687	173
GLYR1	GLYR1 (ENST00000588732)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3292644321764255	0.002523166759130818	173
GMPPA	GMPPA (ENST00000313597)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4252224493430421	6.828486211795253e-5	173
GMPPA	GMPPA (ENST00000481170)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3587478080277478	9.342010753603389e-4	173
GMPPA	GMPPA (ENST00000622191)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33401449941399874	0.0021637249136182363	173
GMPPA	GMPPA (ENST00000683382)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3841627270916621	3.665088165942766e-4	173
GMPPA	GMPPA (ENST00000683402)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.405253179501692	1.588677998245065e-4	173
GMPPB	GMPPB (ENST00000480687)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3948479307382225	2.4164393050424358e-4	173
GMPPB	GMPPB (ENST00000677393)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.323376802819985	0.0030425389791306897	173
GMPPB	GMPPB (ENST00000678853)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3179530436918836	0.003603555513872285	173
GNA13	GNA13 (ENST00000439174)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33894188064664044	0.001840171208869834	173
GNAI1	GNAI1 (ENST00000647672)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34602704719561345	0.0014511223689672975	173
GNAI1	GNAI1 (ENST00000648449)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3432183051220389	0.0015954463107679356	173
GNAI1	GNAI1 (ENST00000648528)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33372800357481963	0.0021840231752666955	173
GNAI2	GNAI2 (ENST00000468422)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3345895528953389	0.002123493573397344	173
GNAI2	GNAI2 (ENST00000490122)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.41109080319578356	1.247971723432981e-4	173
GNAI2	GNAI2 (ENST00000492383)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3255530683119746	0.0028403556995208294	173
GNAI3	GNAI3 (ENST00000369851)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32537202623024497	0.0028567041086274593	173
GNL1	GNL1 (ENST00000376621)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3055716613038057	0.005243259968325181	173
GNL2	GNL2 (ENST00000373062)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4027088455229064	1.7624920213594078e-4	173
GNL3	GNL3 (ENST00000394799)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35768644806334837	9.698416658282934e-4	173
GNMT	GNMT (ENST00000372808)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33692342944412396	0.0019670309221690007	173
GNPTG	GNPTG (ENST00000204679)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32983263532043167	0.002477518328956586	173
GNRHR2	GNRHR2 (ENST00000581100)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3669736124556343	6.958532332342361e-4	173
GOLGA1	GOLGA1 (ENST00000373555)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30590515162906534	0.005191617642351033	173
GOLGA3	GOLGA3 (ENST00000204726)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3970499729130174	2.2137438051467783e-4	173
GOLGA3	GOLGA3 (ENST00000450791)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30705231246988157	0.0050174011212166065	173
GOLGA4	GOLGA4 (ENST00000356847)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33096995236983456	0.0023883686429574755	173
GOLGA4	GOLGA4 (ENST00000361924)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30451746175184635	0.005409513993152853	173
GOLGA4	GOLGA4 (ENST00000437131)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.44446079526960697	2.8750078382080812e-5	173
GOLIM4	GOLIM4 (ENST00000470487)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3394224789060303	0.0018110742041622689	173
GOLM2	GOLM2 (ENST00000299957)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.37241330230096653	5.702305193713943e-4	173
GOLPH3	GOLPH3 (ENST00000265070)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.37910131196085023	4.4428410277941446e-4	173
GON7	GON7 (ENST00000306954)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30467360788319725	0.005384597865279418	173
GOPC	GOPC (ENST00000052569)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30576334962536994	0.005213520901593873	173
GORAB	GORAB (ENST00000367762)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3410035553925314	0.0017182541281749281	173
GORAB	GORAB (ENST00000367763)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3610468687283599	8.610465461052314e-4	173
GORAB	GORAB (ENST00000498600)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3165004864196613	0.0037686871911947178	173
GOSR1	GOSR1 (ENST00000225724)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31828467780386055	0.0035667718263306517	173
GOT2	GOT2 (ENST00000434819)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.332970950939738	0.0022384870170294446	173
GPAA1	GPAA1 (ENST00000525087)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3039565139677345	0.005499868496503609	173
GPAT4	GPAT4 (ENST00000519921)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32163777723448594	0.0032132558728266126	173
GPATCH2	GPATCH2 (ENST00000366934)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31882288820879556	0.003507788211244741	173
GPN1	GPN1 (ENST00000478484)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3544816865565065	0.0010850823479976077	173
GPN2	GPN2 (ENST00000374135)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.43469023930453377	4.49020327981381e-5	173
GPR107	GPR107 (ENST00000347136)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3149175944562512	0.003956287738558798	173
GPR108	GPR108 (ENST00000264080)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.312434262874253	0.004267398117796473	173
GPR108	GPR108 (ENST00000537722)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.30545456964637174	0.005261499775268328	173
GPR137	GPR137 (ENST00000539851)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.366194608034453	7.15776751323417e-4	173
GPS2	GPS2 (ENST00000572707)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3045369768756504	0.005406394405069504	173
GPX4	GPX4 (ENST00000585362)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30540990797800194	0.005268471691094078	173
GRAMD2A	GRAMD2A (ENST00000567637)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3423511832640713	0.0016425512411659157	173
GRAP2	GRAP2 (ENST00000407075)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.345009669595967	0.0015019760383493143	173
GREB1L	GREB1L (ENST00000578368)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31729308261006334	0.0036777645828482627	173
GRHL3	GRHL3 (ENST00000361548)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.30043008584268105	0.006099113237213905	173
GRHPR	GRHPR (ENST00000377824)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31723898537787226	0.0036839075489928435	173
GRN	GRN (ENST00000586782)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3078470890027599	0.0048997608756740675	173
GSS	GSS (ENST00000646405)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3147501568452788	0.003976610615756448	173
GSTZ1	GSTZ1 (ENST00000216465)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3144005377647621	0.004019345980703182	173
GTF2A1L	GTF2A1L (ENST00000423675)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3047720674059368	0.0053689390584101045	173
GTF2H2B	GTF2H2B (ENST00000508065)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.31899745949107206	0.0034888444623207907	173
GTF2IRD2B	GTF2IRD2B (ENST00000651028)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34436476342342615	0.0015350401871416458	173
GTF3C1	GTF3C1 (ENST00000562609)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3031212234494455	0.0056368893469850275	173
GTF3C2	GTF3C2 (ENST00000470115)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3090370196828676	0.004728205337668736	173
GTF3C2-AS1	GTF3C2-AS1 (ENST00000587586)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3690720487624304	6.446736480245995e-4	173
GTPBP10	GTPBP10 (ENST00000222511)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35300133857226584	0.0011423968983707525	173
GUK1	GUK1 (ENST00000481341)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3177116003164838	0.0036305480903516653	173
GUSBP1	GUSBP1 (ENST00000508973)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.38427033692061474	3.650000213145055e-4	173
GUSBP1	GUSBP1 (ENST00000652767)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3358337262174373	0.0020387440685761594	173
GUSBP11	GUSBP11 (ENST00000445682)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.36597304846169215	7.21537479342036e-4	173
GXYLT2	GXYLT2 (ENST00000389617)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34484299582116845	0.0015104590979400456	173
GXYLT2	GXYLT2 (ENST00000491839)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3106274382016319	0.004507246788069417	173
GZF1	GZF1 (ENST00000338121)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.39855323790043307	2.084492833804125e-4	173
H1-10-AS1	H1-10-AS1 (ENST00000433902)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.327835847308274	0.0026412886481152267	173
H2BP2	H2BP2 (ENST00000669710)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3601360833880069	8.893799283565353e-4	173
H3-3B	H3-3B (ENST00000589599)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3272999440859341	0.0026868629535365058	173
H3-3B	H3-3B (ENST00000591890)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3162273789433932	0.003800477819072454	173
H3-3B	H3-3B (ENST00000592643)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3971398222234815	2.2058158238477655e-4	173
H3-3B	H3-3B (ENST00000593254)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3136722079806032	0.004109688580805207	173
H4-16	H4-16 (ENST00000540565)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3153470943020118	0.003904579284302203	173
H4C4	H4C4 (ENST00000614247)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.305076933123232	0.0053207093364344826	173
HADH	HADH (ENST00000640586)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.306914939702103	0.005037986593366611	173
HADHA	HADHA (ENST00000643063)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31140911701863916	0.004402049504212377	173
HAR1B	HAR1B (ENST00000651861)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3066461604726855	0.005078480255010605	173
HARBI1	HARBI1 (ENST00000326737)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3894762622997705	2.98461053922609e-4	173
HARBI1	HARBI1 (ENST00000529192)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3556284015041224	0.0010424922664078917	173
HAT1	HAT1 (ENST00000264108)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4245204632514919	7.040592493473384e-5	173
HAT1	HAT1 (ENST00000412731)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4489531150685509	2.3313415981079147e-5	173
HAT1	HAT1 (ENST00000457761)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3448880729675689	0.001508160582048457	173
HAT1	HAT1 (ENST00000494601)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.365850784342084	7.247345066072277e-4	173
HAUS2	HAUS2 (ENST00000567640)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32332822645621057	0.0030471952227829517	173
HAUS4	HAUS4 (ENST00000555040)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.36764374078141165	6.791202515771886e-4	173
HBB	HBB (ENST00000633227)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3093819523587925	0.004679482968687685	173
HBS1L	HBS1L (ENST00000314674)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3461187611475505	0.0014466154251450637	173
HBS1L	HBS1L (ENST00000367826)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3250244564441843	0.002888326642644889	173
HBZ	HBZ (ENST00000252951)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3220666752343381	0.0031703746822021803	173
HDAC3	HDAC3 (ENST00000469550)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3259515676689113	0.0028046654168875328	173
HDAC6	HDAC6 (ENST00000476625)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33132964832300776	0.0023607793169924387	173
HDAC6	HDAC6 (ENST00000477528)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34177953404723227	0.0016742880053386227	173
HDAC6	HDAC6 (ENST00000488905)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.327775372196824	0.0026463966444624995	173
HDAC8	HDAC8 (ENST00000647654)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3154655511440577	0.003890424352617027	173
HDAC8	HDAC8 (ENST00000649518)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3435693841702533	0.001576724041563096	173
HDGFL3	HDGFL3 (ENST00000563790)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3067739113566004	0.00505919774908704	173
HDLBP	HDLBP (ENST00000391975)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30322731413276777	0.005619320404331508	173
HDLBP	HDLBP (ENST00000444092)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30125290760094725	0.005954355557643861	173
HDLBP	HDLBP (ENST00000460826)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3225257437736209	0.003125044644130045	173
HEATR5B	HEATR5B (ENST00000233099)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35388083576379503	0.0011080232540730045	173
HECTD3	HECTD3 (ENST00000372172)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.40548232523145217	1.573827529729444e-4	173
HECTD3	HECTD3 (ENST00000486132)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.316797098049672	0.003734429375211512	173
HECTD4	HECTD4 (ENST00000550968)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33089244078280033	0.0023943517071384032	173
HECW2-AS1	HECW2-AS1 (ENST00000433933)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3539720157317739	0.0011045138598845278	173
HECW2-AS1	HECW2-AS1 (ENST00000605907)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30271269032229775	0.005704998560318915	173
HELQ	HELQ (ENST00000515482)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3002198810144378	0.006136589279878481	173
HEMK1	HEMK1 (ENST00000482974)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31034073787631783	0.004546386963763973	173
HEXA	HEXA (ENST00000563908)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4091922773026389	1.350546968178194e-4	173
HEXA	HEXA (ENST00000567213)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30573893627673004	0.005217300130652799	173
HEXA	HEXA (ENST00000568777)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3019717772725294	0.005830380672103079	173
HEXA	HEXA (ENST00000683735)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30137288798226713	0.005933503339266096	173
HEXA	HEXA (ENST00000683884)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3325812775150713	0.0022669941405834243	173
HGS	HGS (ENST00000576087)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3145224370276508	0.004004399518504956	173
HGS	HGS (ENST00000576393)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.40717437959976993	1.468073059862669e-4	173
HGS	HGS (ENST00000577012)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3030793649919367	0.005643834598775945	173
HGS	HGS (ENST00000676729)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34869249017753434	0.0013251880486470186	173
HHLA3	HHLA3 (ENST00000531950)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3120488712560093	0.004317582748587129	173
HIKESHI	HIKESHI (ENST00000532270)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3120831485064923	0.004313098088047295	173
HINFP	HINFP (ENST00000529354)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.33051798647622493	0.002423445565288405	173
HIRIP3	HIRIP3 (ENST00000563053)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4969013946131154	2.049838341485561e-6	173
HK1	HK1 (ENST00000359426)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.37462869714780545	5.252938114729111e-4	173
HK1	HK1 (ENST00000494253)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32861084180114014	0.002576607315035068	173
HLA-DMB	HLA-DMB (ENST00000487996)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32210725977006543	0.0031663436635762637	173
HM13	HM13 (ENST00000340852)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34396099113343487	0.0015560748060868478	173
HM13	HM13 (ENST00000498035)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3152553402715562	0.003915574898731443	173
HMBS	HMBS (ENST00000648374)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3013493921650225	0.005937581748597014	173
HMGB1P49	HMGB1P49 (ENST00000418882)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3189627031985438	0.0034926087723790066	173
HMGCLL1	HMGCLL1 (ENST00000370852)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3273879675445153	0.0026793292080874538	173
HMGN2	HMGN2 (ENST00000479815)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3035655958162944	0.005563623121501732	173
HMGXB4	HMGXB4 (ENST00000216106)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3376308176768024	0.001921702098218199	173
HMGXB4	HMGXB4 (ENST00000498212)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.42090347910455256	8.233744188246787e-5	173
HNRNPA1P9	HNRNPA1P9 (ENST00000450624)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.32982426838327705	0.0024781851005441316	173
HNRNPA3	HNRNPA3 (ENST00000676762)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35021262406732045	0.001257879144896731	173
HNRNPH3	HNRNPH3 (ENST00000461310)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.4573394943771014	1.563862896403837e-5	173
HNRNPH3	HNRNPH3 (ENST00000467249)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3202403755530442	0.0033565876548998595	173
HNRNPK	HNRNPK (ENST00000360384)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31836480041760085	0.0035579353205018784	173
HOXB3	HOXB3 (ENST00000490677)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31414531937973494	0.004050800138734053	173
HP	HP (ENST00000576168)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3131514453991109	0.004175388248926365	173
HP1BP3	HP1BP3 (ENST00000375003)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3190899566468868	0.0034788441186465696	173
HPCAL1	HPCAL1 (ENST00000307845)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3192280026042721	0.0034639668546522623	173
HPCAL1	HPCAL1 (ENST00000419810)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35412093710300774	0.0010988037538115381	173
HPCAL1	HPCAL1 (ENST00000622018)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30372301659982626	0.005537871194593545	173
HPD	HPD (ENST00000535114)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.32448655623490913	0.0029378839693991604	173
HPD	HPD (ENST00000542159)	CNS/Brain	negative	not_significant	NA	NA	NA	negative	-0.3166809573847003	0.003747810079498909	173
HSBP1	HSBP1 (ENST00000567382)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.32099795301897416	0.0032781893759839835	173
HSD17B12	HSD17B12 (ENST00000533802)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30365123967004953	0.005549599819401065	173
HSD17B4	HSD17B4 (ENST00000647335)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3072932812979539	0.004981471818396282	173
HSDL1	HSDL1 (ENST00000568857)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31191841826586486	0.004334688505694433	173
HSF4	HSF4 (ENST00000683295)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.35008250491123577	0.0012635169876956379	173
HSPA8	HSPA8 (ENST00000530391)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3178971889905588	0.003609783915191846	173
HSPD1P10	HSPD1P10 (ENST00000404829)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3202875917206252	0.003351652964129552	173
HTRA2	HTRA2 (ENST00000465521)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.37981314542486144	4.325016796544971e-4	173
HYAL2	HYAL2 (ENST00000447092)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3431995478385178	0.0015964522216228105	173
HYAL2	HYAL2 (ENST00000458018)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3147517691395996	0.003976414479640008	173
HYOU1	HYOU1 (ENST00000527738)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30079367884633085	0.006034767839207123	173
IARS1	IARS1 (ENST00000683565)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.34463686584841075	0.0015210102010286717	173
ICE1	ICE1 (ENST00000505464)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3897455846030726	2.9534287752279995e-4	173
ICE2	ICE2 (ENST00000561114)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.317498180554452	0.0036545577575457363	173
ICMT	ICMT (ENST00000343813)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3776966884781179	4.6840010796749763e-4	173
IDE	IDE (ENST00000677096)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3240717243920658	0.002976621315152285	173
IFI16	IFI16 (ENST00000448393)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3209242364106186	0.0032857454469910137	173
IFNGR2	IFNGR2 (ENST00000545369)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.31794780298272135	0.0036041395015277656	173
IFT172	IFT172 (ENST00000676300)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.3085400521625824	0.004799194949644166	173
IFT20	IFT20 (ENST00000578985)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.30718244970750197	0.0049979687544321645	173
IFT80	IFT80 (ENST00000326448)	CNS/Brain	positive	not_significant	NA	NA	NA	positive	0.303102703928809	0.00563996121506079	173
